 ID  ,title,followers_count,genres,popularity,avgcompscore
6078,Sammy Kershaw,127974,"['contemporary country', 'country', 'country christmas', 'country gospel', 'country road', 'country rock', 'nashville sound', 'outlaw country', 'texas country', 'traditional country']",55,0.9674
6079,Natural Samples,33,[],50,0.893
6080,Samson & Gert,4792,"['belgian rock', 'classic belgian pop']",42,-0.9309
6081,San Francisco Symphony,6713,"['classical', 'classical performance', 'orchestral']",49,0.62568
6082,Chalino Sanchez,347157,"['banda', 'grupera', 'norteno', 'regional mexican']",66,-0.029433333
6083,Silent Sanctuary,750168,"['opm', 'pinoy alternative']",66,0.094311111
6084,Phillip Sandifer,113,[],9,0.296
6085,Adam Sandler,42859,"['comedy', 'comic']",44,0.83015
6087,Sandra McCracken,12257,"['acoustic pop', 'anthem worship', 'christian uplift', 'folk christmas', 'indiecoustica']",46,-0.176975
6088,Sandy,401790,['baile pop'],59,0.92585
6089,Sandy & Papo,22439,"['merengue', 'tropical']",41,-0.9716
6090,Sandy Denny,17706,"['british folk', 'folk', 'folk rock', 'singer-songwriter', 'traditional folk']",37,-0.16704
6091,Sandy Marton,1101,['italian disco'],26,0.093211111
6092,Sandy Van Ry,47,[],9,0.4153
6093,Sandy Wagner,911,['discofox'],19,-0.574827273
6094,Sanguis et Cinis,1831,['dark wave'],14,0.996
6095,SanQ Band,659,[],28,0.574604
6096,Véronique Sanson,35035,"['cabaret', 'chanson', 'french pop']",52,0.3213
6097,Santabarbara,1107,['spanish invasion'],25,0.9584
6098,Rio Santana,308,[],70,0.3208125
6099,Santos & Pecadores,1663,"['portuguese pop', 'portuguese rock']",17,0.587133333
6100,Lulu Santos,594982,['mpb'],64,0.692025
6101,Alejandro Sanz,1874070,"['cantautor', 'latin', 'latin arena pop', 'latin christmas', 'latin pop', 'rock en espanol', 'spanish pop', 'tropical']",77,0.99
6102,Saphir,462,[],30,nan
6103,Zara Larsson,2169348,"['dance pop', 'edm', 'pop', 'post-teen pop', 'swedish pop', 'tropical house']",82,0.650684932
6104,Sara @ Tic Tac Two,39,[],3,-0.2923
6105,Sara Evans,360126,"['contemporary country', 'country', 'country christmas', 'country dawn', 'country gospel', 'country road']",59,0.8047
6106,Saragossa Band,3023,[],28,0.5983
6107,Sarah Brightman,178020,['operatic pop'],59,0.855925
6108,Sarah Connor,95022,"['deep german pop rock', 'europop', 'german pop', 'german pop rock', 'pop christmas']",56,0.85
6109,Sarah McLachlan,300734,"['canadian pop', 'ectofolk', 'folk', 'folk christmas', 'folk-pop', 'lilith', 'new wave pop', 'permanent wave', 'pop christmas', 'pop rock', 'singer-songwriter']",63,-0.9
6110,Saratoga,79763,"['latin metal', 'rock en espanol']",48,0.2187875
6111,Sarcastic Sounds,3851,['lo beats'],51,0.836466667
6112,Sarcofago,21441,"['black death', 'black metal', 'black thrash', 'brazilian metal', 'death metal', 'deathgrind', 'latin metal', 'metal', 'thrash metal']",29,0.4215
6113,Michel Sardou,73414,"['cabaret', 'chanson', 'french pop']",56,-0.7753
6114,Sarina Paris,1389,['bubblegum dance'],24,0.1672
