,main_artist,Year,Rank,Source,comp_score,pos_score,neu_score,neg_score
60,alex clare,2012.0,30.0,1.0,0.9984,0.306,0.674,0.02
61,alice cooper,1978.1666666666667,74.16666666666667,1.0,0.01115000000000003,0.12633333333333335,0.766,0.10716666666666667
62,alice deejay,2000.0,88.0,1.0,0.932,0.23399999999999999,0.61,0.156
63,alicia bridges,1978.5,76.0,3.0,0.9984,0.326,0.636,0.038
64,alicia keys,2006.3333333333333,43.916666666666664,1.0,0.2904583333333333,0.11866666666666664,0.7990833333333335,0.08216666666666668
65,alive n kickin,1970.0,47.0,3.0,0.9802,0.222,0.778,0.0
66,all saints,1998.0,42.0,1.0,-0.9679,0.109,0.752,0.139
67,all4one,1994.3333333333333,15.0,,,,,
68,allen kriskris allen,2010.0,48.0,,,,,
69,allure,1997.5,63.5,1.0,-0.9899,0.11199999999999999,0.655,0.233
70,aloe blacc,2014.0,48.0,1.0,0.9983,0.198,0.7609999999999999,0.040999999999999995
71,amanda perez,2003.0,69.0,1.0,0.9926,0.183,0.735,0.08199999999999999
72,amazing rhythm aces,1975.0,97.0,1.0,0.9818,0.165,0.747,0.087
73,amber,1996.0,82.0,1.0,0.9987,0.249,0.7509999999999999,0.0
74,ambrosia,1979.5,55.5,1.0,0.995,0.16499999999999998,0.8069999999999999,0.028
75,ame lorain,1990.0,95.0,5.0,0.9933,0.16699999999999998,0.758,0.076
76,america,1976.0,52.0,1.0,0.1751,0.09425,0.8182499999999999,0.08725000000000001
77,american authors,2014.0,31.0,1.0,0.9902,0.16899999999999998,0.7959999999999999,0.035
78,amerie,2005.0,67.0,1.0,0.9890000000000001,0.092,0.905,0.003
79,amii stewart,1979.0,22.0,1.0,0.9979,0.33399999999999996,0.644,0.022000000000000002
80,amine,2017.0,60.0,1.0,-0.9906,0.162,0.633,0.205
81,amy grant,1991.6,55.4,1.0,0.9946200000000001,0.25660000000000005,0.707,0.0364
82,amy winehouse,2007.0,74.0,1.0,-0.9453,0.081,0.778,0.141
83,andrea true connection,1976.0,17.0,1.0,0.997,0.28800000000000003,0.691,0.021
84,andrew gold,1977.0,50.0,1.0,-0.5859,0.127,0.722,0.152
85,andy gibb,1978.7142857142858,38.857142857142854,1.0,0.6352571428571429,0.16157142857142862,0.7182857142857143,0.12000000000000001
86,andy grammer,2015.0,25.0,1.0,0.9984,0.245,0.679,0.075
87,andy kim,1971.5,28.5,1.0,0.9932,0.284,0.6305000000000001,0.0855
88,andy williams,1971.0,72.0,1.0,0.9785,0.17600000000000002,0.7959999999999999,0.027999999999999997
89,angie martinez,2002.0,69.0,1.0,0.9879,0.099,0.8420000000000001,0.059000000000000004
90,animotion,1985.0,56.0,1.0,-0.9831,0.09699999999999999,0.722,0.18100000000000002
91,anita baker,1987.5,50.0,1.0,0.9978,0.3175,0.6120000000000001,0.07050000000000001
92,anita ward,1979.0,9.0,1.0,0.9582,0.07400000000000001,0.92,0.006999999999999999
93,ann wilson,1989.0,98.0,3.0,-0.9777,0.083,0.72,0.19699999999999998
94,anna kendrick,2013.0,21.0,1.0,0.0516,0.07400000000000001,0.804,0.12300000000000001
95,anne murray,1976.0,62.625,1.0,0.49216249999999995,0.154875,0.7797499999999999,0.065375
96,annie lennox,1995.0,78.0,1.0,0.8736,0.159,0.687,0.154
97,another bad creation,1991.0,54.0,1.0,0.9896,0.13699999999999998,0.836,0.027000000000000003
98,apollo 100,1972.0,71.0,1.0,0.0,0.0,0.0,0.0
99,aqua,1997.0,94.0,1.0,0.9984,0.249,0.737,0.013000000000000001
100,arcadia,1986.0,86.0,1.0,-0.8452,0.159,0.679,0.162
101,archie bell,1968.0,10.0,3.0,0.9885,0.12,0.875,0.005
102,aretha franklin,1974.5333333333333,61.4,1.0,0.7631,0.1685,0.779,0.052857142857142866
103,argent,1972.0,50.0,1.0,-0.8658,0.0,0.894,0.106
104,ariana grande,2015.111111111111,45.22222222222222,1.0,-0.06463333333333335,0.14933333333333332,0.7633333333333333,0.08722222222222224
105,arlo guthrie,1972.0,45.0,1.0,0.5329999999999999,0.054000000000000006,0.903,0.043
