Row Labels,Count of genres
deep southern trap,1
deep space rockNONE,1
deep symphonic black metal,1
deep talent showNONE,1
deep texas country,2
deep trap,2
deep trapNONE,1
deep tropical house,2
deep turkish pop,1
deep turkish rock,7
deep underground hip hop,1
deep underground hip hopNONE,1
desi,3
desi hip hopNONE,1
detroit hip hop,3
digital hardcore,2
dirty south rap,11
disco,39
disco house,6
discofox,24
discofoxNONE,5
discoNONE,15
disney,3
doom metal,16
doom metalNONE,1
doo-wopNONE,3
doujinNONE,1
downtempo,4
downtempoNONE,1
dream pop,3
dream popNONE,2
dreamo,2
driftNONE,1
drum and bass,1
dub,2
duranguense,1
dutch hip hopNONE,1
dutch pop,5
dutch popNONE,18
dutch rock,1
dutch rockNONE,1
dwn trapNONE,2
early modern classicalNONE,1
east coast hip hop,31
easy listeningNONE,1
ebm,8
ebmNONE,1
ectofolk,17
ectofolkNONE,1
edm,3
electro,9
electro latino,1
electro latinoNONE,1
electro swing,3
electroclash,1
electroclashNONE,1
electro-industrial,3
electronic,5
electronicNONE,1
electropowerpop,1
emo,26
enkaNONE,1
entehno,1
environmentalNONE,4
epicore,3
escape room,1
estonian popNONE,2
etherpop,3
eurodance,20
eurodanceNONE,2
europop,20
europopNONE,4
euroskaNONE,1
eurovisionNONE,1
exotica,1
experimental,4
experimental rock,1
fado,5
fadoNONE,1
fakeNONE,4
finnish dance pop,2
finnish metal,8
finnish metalNONE,2
finnish pop,2
finnish popNONE,1
flamenco,3
float house,1
focus,1
focusNONE,8
folk,34
folk christmas,16
folk christmasNONE,3
folk metal,10
folk punk,3
folk rock,1
folkmusik,1
folkNONE,2
folk-pop,12
folk-popNONE,2
forro,1
freak folk,1
freestyle,4
freestyleNONE,14
french folk pop,1
french hip hop,4
french hip hopNONE,4
french pop,5
french popNONE,3
french punk,2
french punkNONE,1
french rock,1
french rockNONE,1
funeral doomNONE,3
funk,13
funk metal,11
funk metalNONE,3
funky tech houseNONE,1
fussballNONE,1
future funk,2
futurepop,1
g funk,11
gabba,3
gangster rap,6
garage popNONE,1
garage psych,1
garage punk,1
garage punk blues,1
garage rock,2
gauze pop,2
gbvfi,1
geek folk,2
german hip hop,12
german hip hopNONE,8
german indie,8
