"id	artistid	artist	title	compound_score",,
"10419	728	Bassey Shirley	Diamonds Are Forever	0.5916",,
"10420	728	Bassey Shirley	Goldfinger	0.9933",,
"10421	728	Bassey Shirley	Moonraker	0.9909",,
"10422	729	Bata Ilic	Michaela	-0.8834",,
"10423	730	Bata Illic	Candida	-0.9364",,
"10425	730	Bata Illic	Ein Herz Steht Nie Still	-0.9319",,
"10426	730	Bata Illic	Ich M&amp;ouml;cht Der Knopf An Deiner Bluse Sein	-0.9708",,
"10427	730	Bata Illic	Judy	0.8655",,
"10428	730	Bata Illic	Komm Auf Das Schiff Meiner Tr&amp;auml;ume	-0.5994",,
"10429	730	Bata Illic	M&amp;auml;dchen Mit Den Traurigen Augen	-0.9678",,
"10430	730	Bata Illic	Michaela	-0.9136",,
"10431	730	Bata Illic	Mit Meiner Balalaika War Ich Der K&amp;ouml;nig Auf Jamaica	-0.9864",,
"10432	730	Bata Illic	Mit Verbundenen Augen	-0.9136",,
"10433	730	Bata Illic	Mr. Cannibal	-0.9601",,
"10435	730	Bata Illic	Schuhe	-0.927",,
"10437	730	Bata Illic	Vera	-0.9136",,
"10438	731	Bates	A Real Cool Time	0.9459",,
"10439	731	Bates	Baby I Miss You	0.2782",,
"10440	731	Bates	Der Westen Ist Einsam	0.2263",,
"10441	731	Bates	Going For The Show	0.8203",,
"10443	731	Bates	Here We Go	0.9538",,
"10444	731	Bates	I Don't Wanna Love You	-0.3525",,
"10445	731	Bates	I Hate To Go	-0.9022",,
"10446	731	Bates	I Know Now	0.3339",,
"10447	731	Bates	In This Town	0.8074",,
"10448	731	Bates	My Baby's Gone Away	-0.9681",,
"10449	731	Bates	Out Of My Mind	0.1779",,
"10451	731	Bates	Pay Back	0.0227",,
"10452	731	Bates	Poor Boy	-0.7717",,
"10453	731	Bates	Running Forward	-0.0015",,
"10454	731	Bates	She Won't Come Back	-0.6956",,
"10455	731	Bates	She's Mine	0.6662",,
"10456	731	Bates	Shine	0.9624",,
"10457	731	Bates	Still The Same	0.1531",,
"10458	731	Bates	When Will I See You Again	-0.3612",,
"10459	732	Bates Katherine Lee	America The Beautiful	0.9728",,
"10460	733	Bathory	13 Candles	-0.8807",,
"10461	733	Bathory	33 Something	-0.9976",,
"10462	733	Bathory	A Fine Day To Die	-0.6124",,
"10463	733	Bathory	Armageddon	-0.9758",,
"10464	733	Bathory	Baptised In Fire And Ice	0.3804",,
"10465	733	Bathory	Blood And Iron	0.9668",,
"10466	733	Bathory	Blood Fire Death	0.6249",,
"10467	733	Bathory	Blood On Ice	-0.7269",,
"10468	733	Bathory	Bond Of Blood	-0.624",,
"10469	733	Bathory	Born To Die	0.9327",,
"10470	733	Bathory	Burnin' Leather	-0.9318",,
"10471	733	Bathory	Call From The Grave	-0.8015",,
"10472	733	Bathory	Century	-0.969",,
"10473	733	Bathory	Chariots Of Fire	-0.9821",,
"10474	733	Bathory	Crosstitution	-0.9571",,
"10475	733	Bathory	Deuce	0.7184",,
"10476	733	Bathory	Die In Fire	-0.9923",,
"10477	733	Bathory	Dies Irae	-0.8271",,
"10478	733	Bathory	Enter The Eternal Fire	-0.9062",,
"10479	733	Bathory	Equimanthorn	-0.128",,
"10480	733	Bathory	Father To Son	0.9172",,
"10481	733	Bathory	For All Those Who Died	-0.981",,
"10482	733	Bathory	Genocide	-0.9949",,
"10483	733	Bathory	Gods Of Thunder Of Wind And Of Rain	-0.6722",,
"10484	733	Bathory	Grey	-0.7208",,
"10485	733	Bathory	Hades	-0.9022",,
"10486	733	Bathory	Hammerheart	0.93",,
"10487	733	Bathory	Holocaust	-0.9831",,
"10488	733	Bathory	Home Of Once Brave	0.9118",,
"10489	733	Bathory	Immaculate Pinetreeroad #930	-0.9679",,
"10490	733	Bathory	In Conspiracy With Satan	-0.9761",,
"10491	733	Bathory	In Nomine Satanas	0.9153",,
"10492	733	Bathory	Judgement Of Posterity	-0.9577",,
"10494	733	Bathory	Massacre	-0.8591",,
"10495	733	Bathory	Necromancy	-0.93",,
"10496	733	Bathory	Of Doom...	0.8504",,
"10497	733	Bathory	One Eyed Old Man	-0.3182",,
"10498	733	Bathory	One Rode To Asa Bay	0.9921",,
"10499	733	Bathory	Pax Vobiscum	-0.8408",,
"10500	733	Bathory	Possessed	-0.9062",,
"10501	733	Bathory	Psychopath	-0.9764",,
"10502	733	Bathory	Raise The Dead	-0.6705",,
"10503	733	Bathory	Reaper	-0.6808",,
"10504	733	Bathory	Resolution Greed	-0.8925",,
"10505	733	Bathory	Sacrifice	-0.5106",,
"10506	733	Bathory	Sadist (tormentor)	-0.615",,
"10507	733	Bathory	Satan My Master	-0.296",,
"10508	733	Bathory	Schizianity	-0.9826",,
"10509	733	Bathory	Shores In Flames	-0.9318",,
"10510	733	Bathory	Sociopath	-0.9979",,
"10511	733	Bathory	Son Of The Damned	-0.9493",,
"10512	733	Bathory	Song To Hall Up High	0.4588",,
"10513	733	Bathory	The Golden Walls Of Heaven	-0.8979",,
"10514	733	Bathory	The Lake	-0.1139",,
"10515	733	Bathory	The Ravens	-0.5994",,
"10516	733	Bathory	The Reap Of Evil	-0.9246",,
"10517	733	Bathory	The Return Of Darkness And Evil	-0.8834",,
"10518	733	Bathory	The Revenge Of The Blood On Ice	0.802",,
"10519	733	Bathory	The Rite Of Darkness	-0.0085",,
"10520	733	Bathory	The Stallion	0.4019",,
"10521	733	Bathory	The Sword	-0.3182",,
"10522	733	Bathory	The Wind Of Mayhem	-0.743",,
"10523	733	Bathory	The Woodwoman	0.1154",,
"10524	733	Bathory	Through Blood By Thunder	-0.1154",,
"10525	733	Bathory	To Enter Your Mountain	-0.8559",,
"10526	733	Bathory	Total Destruction	-0.9463",,
"10527	733	Bathory	Twilight Of The Gods	-0.7473",,
"10528	733	Bathory	Under The Runes	-0.9724",,
"10529	733	Bathory	Valhalla	0.8248",,
"10531	733	Bathory	War	-0.9314",,
"10532	733	Bathory	War Machine	-0.4588",,
"10533	733	Bathory	War Supply	-0.9774",,
"10534	733	Bathory	Woman Of Dark Desires	0.6369",,
"10535	734	Batt Mike	Imbecile	0.935",,
"10536	734	Batt Mike	Lady Of The Dawn	0.9783",,
"10537	734	Batt Mike	Losing Your Way In The Rain	-0.9067",,
"10538	734	Batt Mike	Run Like The Wind	0.9022",,
"10539	735	Battiato Franco	Alexander Platz	-0.6632",,
"10543	735	Battiato Franco	Arabian Song	-0.8442",,
"10546	735	Battiato Franco	Auto Da Fe'	0.34",,
"10547	735	Battiato Franco	Bandera Blanca	-0.5267",,
"10548	735	Battiato Franco	Bandiera Bianca	0.5411",,
"10549	735	Battiato Franco	Beta	-0.296",,
"10556	735	Battiato Franco	Casta Diva	-0.9231",,
"10557	735	Battiato Franco	Centro De Gravedad	-0.0258",,
"10558	735	Battiato Franco	Centro Di Gravit&#224; Permanente	0.6705",,
"10559	735	Battiato Franco	Chanson Egocentrique	0.6705",,
"10560	735	Battiato Franco	Clamori	0.2732",,
"10561	735	Battiato Franco	Come Un Cammello In Una Grondaia	-0.6351",,
"10562	735	Battiato Franco	Como Un Camello En Un Canalon	0.126",,
"10563	735	Battiato Franco	Cuccurucucu	0.8199",,
"10564	735	Battiato Franco	Cucurrucucu (versione Spagnola)	-0.296",,
"10566	735	Battiato Franco	Despertar En Primavera	0.34",,
"10569	735	Battiato Franco	E Ti Vengo A Cercare	-0.296",,
"10570	735	Battiato Franco	Ecco Com'&#232; Che Va Il Mondo	-0.9047",,
"10571	735	Battiato Franco	El Mito Del Amor	0.6124",,
"10572	735	Battiato Franco	Energia	-0.7003",,
"10573	735	Battiato Franco	Fenomenologia	-0.296",,
"10574	735	Battiato Franco	Fetus	-0.296",,
"10575	735	Battiato Franco	Fisiognomica	0.34",,
"10576	735	Battiato Franco	Fisiognomica (versione Spagnola)	-0.9325",,
"10578	735	Battiato Franco	Fornicazione	-0.296",,
"10581	735	Battiato Franco	Gestillte Sehnsucht (nostalgia Placata)	-0.9905",,
"10582	735	Battiato Franco	Gesualdo Da Venosa	0.2714",,
"10583	735	Battiato Franco	Giubbe Rosse	-0.5267",,
"10588	735	Battiato Franco	I Want To See You As A Dancer	0.7964",,
"10595	735	Battiato Franco	La Era Del Jabali Blanco	-0.296",,
"10596	735	Battiato Franco	La Musica Stanca	-0.5216",,
"10597	735	Battiato Franco	La Preda	-0.296",,
"10598	735	Battiato Franco	La Sombra De La Luz	-0.8604",,
"10599	735	Battiato Franco	La Torre	0.8225",,
"10600	735	Battiato Franco	L'animale	-0.5574",,
"10603	735	Battiato Franco	L'era Del Cinghiale Bianco	-0.296",,
"10604	735	Battiato Franco	L'esistenza Di Dio	-0.7887",,
"10605	735	Battiato Franco	L'esodo	-0.5267",,
"10606	735	Battiato Franco	Lettera Al Governatore Della Libia	-0.5994",,
"10607	735	Battiato Franco	L'oceano Di Silenzio	-0.5994",,
"10608	735	Battiato Franco	Lode All'inviolato	0.0516",,
"10610	735	Battiato Franco	L'ombrello E La Macchina Da Cucire	0.4939",,
"10612	735	Battiato Franco	Lover's Season	-0.9437",,
"10613	735	Battiato Franco	Magic Shop	-0.5574",,
"10614	735	Battiato Franco	Mal D'africa	-0.7506",,
"10615	735	Battiato Franco	Mal De Africa	-0.296",,
"10617	735	Battiato Franco	Memorie Di Giulia	-0.296",,
"10618	735	Battiato Franco	Mesopotamia (versione Spagnola)	-0.5106",,
"10621	735	Battiato Franco	New Frontiers	-0.5574",,
"10622	735	Battiato Franco	No Time No Space	0.7184",,
"10623	735	Battiato Franco	Nomadas	-0.296",,
"10624	735	Battiato Franco	Nomadi	0.1027",,
"10625	735	Battiato Franco	Oh Sweet Were The Hours (o Dolci Furono Le Ore)	0.9855",,
"10626	735	Battiato Franco	Otra Vida	-0.5574",,
"10628	735	Battiato Franco	Passaggi A Livello	0.4404",,
"10631	735	Battiato Franco	Piccolo Pub	-0.5267",,
"10632	735	Battiato Franco	Plaisir D'amour (gioia D'amore)	-0.128",,
"10633	735	Battiato Franco	Plancton	-0.296",,
"10634	735	Battiato Franco	Pobre Patria	-0.8402",,
"10636	735	Battiato Franco	Povera Patria	-0.846",,
"10637	735	Battiato Franco	Prospettiva Nevski	-0.296",,
"10638	735	Battiato Franco	Quello Che Fu	-0.9794",,
"10640	735	Battiato Franco	Ricerca Sul Terzo	-0.296",,
"10644	735	Battiato Franco	Schmerzen (dolori)	-0.928",,
"10646	735	Battiato Franco	Segnali Di Vita	-0.296",,
"10648	735	Battiato Franco	Sentimento Nuevo	-0.886",,
"10649	735	Battiato Franco	Sentimiento Nuevo (versione Spagnola)	0.7783",,
"10650	735	Battiato Franco	Serial Killer	-0.296",,
"10652	735	Battiato Franco	Shock In My Town	-0.7783",,
"10653	735	Battiato Franco	Splendide Previsioni	-0.5216",,
"10655	735	Battiato Franco	Strani Giorni	0.4137",,
"10658	735	Battiato Franco	Summer On A Solitary Beach	0.7717",,
"10661	735	Battiato Franco	The Animal	0.7581",,
"10662	735	Battiato Franco	The King Of The World	0.4767",,
"10663	735	Battiato Franco	The Trains Of Tozeur	0.4754",,
"10664	735	Battiato Franco	Tramonto Occidentale	-0.5574",,
"10667	735	Battiato Franco	Un'altra Vita	-0.296",,
"10668	735	Battiato Franco	Up Patriots To Arms	-0.5267",,
"10669	735	Battiato Franco	Venezia-istanbul	-0.5574",,
"10671	735	Battiato Franco	Via Lactea	-0.296",,
"10673	735	Battiato Franco	Vite Parallele	-0.296",,
"10674	735	Battiato Franco	Y Te Vengo A Buscar	-0.2023",,
"10675	735	Battiato Franco	Zai Saman	0.658",,
"10676	735	Battiato Franco	Zone Depresse	-0.7506",,
"10677	736	Battisti Lucio	Emozioni	-0.5574",,
"10678	736	Battisti Lucio	La Luce Dell Est	-0.7783",,
"10679	736	Battisti Lucio	Vento Nel Vento	0.34",,
"10680	737	Bauhaus	Mask	-0.6369",,
"10681	737	Bauhaus	Night Time	0.6428",,
"10682	737	Bauhaus	Rosegarden Funeral of Sores	-0.9517",,
"10683	737	Bauhaus	The Three Shadows	-0.3612",,
"10684	738	Baumann Peter	Be Mine	-0.0258",,
"10686	738	Baumann Peter	Glass House	-0.128",,
"10687	738	Baumann Peter	Ground Zero	0.8591",,
"10688	738	Baumann Peter	Metro Man	0.9702",,
"10689	738	Baumann Peter	Strangers In The Night	0.7506",,
"10690	738	Baumann Peter	Taxi	-0.5106",,
"10692	738	Baumann Peter	Welcome	0.6124",,
"10693	739	Bauuml;rger Lars Dietrich	Ich Bring' Dich Um	-0.9975",,
"10694	739	Bauuml;rger Lars Dietrich	Sexy Eis	-0.9545",,
"10695	739	Bauuml;rger Lars Dietrich	Seys Eis	-0.6884",,
"10696	740	Bavaria Quartett	Die Kleinen Hula-maedchen Von Hawaii	-0.9136",,
"10697	741	Bay Laurel	Apart	0.3481",,
"10698	741	Bay Laurel	Black Dove	-0.9829",,
"10699	741	Bay Laurel	Blue	-0.9801",,
"10700	741	Bay Laurel	In Sorrows Tide	-0.9501",,
"10701	741	Bay Laurel	Lost In Black Love	-0.9844",,
"10702	741	Bay Laurel	Outside	-0.7384",,
"10703	741	Bay Laurel	Paint	-0.7156",,
"10704	741	Bay Laurel	We Lost	-0.9784",,
"10705	741	Bay Laurel	Worms And Blood	-0.6776",,
"10706	742	Baz Luhrmann	Everybody?s Free (to Wear Sunscreen)	0.9981",,
"10707	742	Baz Luhrmann	Everybody's Free	0.9973",,
"10708	742	Baz Luhrmann	Everybody's Free (to Wear Sunscreen) - Dtsch. &amp;uuml;bersetzung	-0.9984",,
"10709	743	Bazar Matia	Ti Sento - I Feel You (by Matia Bazar)	0.9237",,
"10710	744	Bb King	The Thrill Is Gone	0.9916",,
"10711	745	Bbmak	Again	0.7472",,
"10712	745	Bbmak	Back Here	0.8008",,
"10713	745	Bbmak	Can't Say	0.2683",,
"10714	745	Bbmak	Emily's Song	0.981",,
"10715	745	Bbmak	Ghost Of You And Me	0.9776",,
"10716	745	Bbmak	I Can Tell	-0.1154",,
"10717	745	Bbmak	I'm Not In Love	-0.9939",,
"10718	745	Bbmak	Love Is Leaving	0.9914",,
"10719	745	Bbmak	Love Is Unpredictable	0.9989",,
"10720	745	Bbmak	Love On The Outside	0.9992",,
"10721	745	Bbmak	Miss You More	-0.0404",,
"10722	745	Bbmak	More Than Words	0.9737",,
"10723	745	Bbmak	Next Time	0.9289",,
"10724	745	Bbmak	September	-0.9488",,
"10725	745	Bbmak	Sooner Or Later	0.7579",,
"10726	745	Bbmak	Still On Your Side	-0.6067",,
"10727	746	Bc 52s	Private Idaho	0.9834",,
"10728	747	Bdp	Necessary	0.9952",,
"10729	748	Beach Boys	409	-0.8225",,
"10730	748	Beach Boys	All Summer Long	0.9786",,
"10731	748	Beach Boys	Barbara Ann	0.6323",,
"10732	748	Beach Boys	Be True to Your School	0.9927",,
"10733	748	Beach Boys	Cabinessence	0.782",,
"10734	748	Beach Boys	California Calling	0.986",,
"10735	748	Beach Boys	California Dreamin'	0.91",,
"10736	748	Beach Boys	California Dremaing	0.7845",,
"10737	748	Beach Boys	California Girls	0.9938",,
"10739	748	Beach Boys	""Caroline"," No""	0.5366",
"10740	748	Beach Boys	Catch A Wave	0.8893",,
"10741	748	Beach Boys	Chapel of Love	0.9898",,
"10743	748	Beach Boys	Chug - A - Lug	0.7906",,
"10744	748	Beach Boys	Chug-a-lug	0.8466",,
"10745	748	Beach Boys	Cotton Fields	0.9448",,
"10746	748	Beach Boys	County Fair	0.9935",,
"10747	748	Beach Boys	Cuckoo Clock	-0.6674",,
"10748	748	Beach Boys	""Dance", Dance," Dance""	0.7696"
"10749	748	Beach Boys	Do It Again	0.1759",,
"10750	748	Beach Boys	Do You Remember	0.933",,
"10751	748	Beach Boys	Don't Back Down	0.6124",,
"10752	748	Beach Boys	Don't Talk	0.7506",,
"10754	748	Beach Boys	Don't Worry Baby	-0.9852",,
"10755	748	Beach Boys	Drive-in	0.996",,
"10756	748	Beach Boys	Farmer's Daughter	0.6908",,
"10757	748	Beach Boys	Finders Keepers	0.0516",,
"10758	748	Beach Boys	Forever	0.9736",,
"10759	748	Beach Boys	Friends	0.9382",,
"10760	748	Beach Boys	Frosty The Snowman	0.9259",,
"10761	748	Beach Boys	Fun Fun Fun	0.9961",,
"10762	748	Beach Boys	""Fun", Fun," Fun""	0.9984"
"10763	748	Beach Boys	Girl Don't Tell Me	0.1179",,
"10764	748	Beach Boys	Girls on The Beach	0.802",,
"10765	748	Beach Boys	God Only Knows	0.7297",,
"10766	748	Beach Boys	Good Vibrations	0.9977",,
"10767	748	Beach Boys	Graduation Day	0.6486",,
"10768	748	Beach Boys	Graduation Song	0.6486",,
"10769	748	Beach Boys	Hawaii	0.882",,
"10770	748	Beach Boys	Heads You Win	0.7488",,
"10771	748	Beach Boys	""Heads You Win"," Tails I Lose""	0.96",
"10772	748	Beach Boys	Help Me Rhonda	0.9045",,
"10773	748	Beach Boys	""Help Me"," Rhonda""	0.9956",
"10774	748	Beach Boys	Here Today	0.9808",,
"10775	748	Beach Boys	Heroes & Villains	0.9818",,
"10776	748	Beach Boys	I Get Around	0.9508",,
"10777	748	Beach Boys	I Just Wasn't Made for These Times	0.9153",,
"10778	748	Beach Boys	I Know There's an Answer	-0.2144",,
"10779	748	Beach Boys	I Went To Sleep	0.765",,
"10780	748	Beach Boys	I'm Waiting for The Day	0.9493",,
"10781	748	Beach Boys	In My Room	-0.7096",,
"10782	748	Beach Boys	Just Once In My Life	0.9355",,
"10783	748	Beach Boys	Kokomo	0.9653",,
"10784	748	Beach Boys	Lana	0.5787",,
"10785	748	Beach Boys	Let Him Run Wild	0.802",,
"10786	748	Beach Boys	Little Deuce Coupe	0.8591",,
"10787	748	Beach Boys	Little Girl	0.5994",,
"10788	748	Beach Boys	Little Honda	0.9462",,
"10789	748	Beach Boys	Little Saint Nick	0.874",,
