id,artistid,artist,title,compound_score
63624,5323,Luticia Mcneal,Ain't That Just The Way,-0.9814
63625,5324,Lutricia Mc Neal,Ain't That Just The Way,-0.4944
63628,5325,Lutricia Mcneal,Ain't That Just The Way,-0.9814
63631,5326,Lutz Landers,Nach Venezuela,-0.8316
63634,5327,Luud Rubbers,Jamming In Jamaica,-0.9725
63635,5328,Luv,Casanova,0.8377
63638,5329,Lux Occulta,Blessed By The Rain,-0.1531
63644,5330,Lyane Hegemann,Such Mich,-0.9195
63645,5331,Lycia,A Brief Glimpse,-0.9349
63671,5332,Lyle Lovett,Give Back My Heart,0.9442
63672,5333,Lynard Skynard,Sweet Home Alabama,0.7559
63673,5334,Lynn Anderson,Rose Garden,0.9598
63674,5335,Lynn Vera,Elmer's Tune,0.6943
63676,5336,Lynne Jeff,Every Little Thing,0.7693
63679,5337,Lynrd Skynrd,Sweet Home Alabama,0.9416
63680,5338,Lynyrd Skynyrd,Ain't No Good Life,-0.6428
63747,5339,Lyons Dana,Cows With Guns,0.9372
63749,5340,Lys Assia,Arrivederci,-0.9112
63753,5341,Lyte Funkie Ones,Summer Girls,0.9943
63754,5342,Lyte Funky Ones,The Way You Like It,-0.8015
63755,5343,M I C,Lollipop Man,-0.592
63756,5344,M I L C,Cajones,0.8356
63764,5345,M People,Angel Street,0.9774
63769,5346,M&#227;o Morta,Abandonada,0.1531
63770,5347,M&#252;nchener Freiheit,Bis Wir Uns Wiederseh`n,-0.9485
63790,5348,M. E. S. T.,Fucked up Kid,-0.891
63791,5349,M. Shafro And Co,What She Likes?,0.8863
63792,5351,M.c. Miker g And Deejay Seven,Celebration Rap,0.9964
63794,5352,M.c. Sar And The Real Mccoy,Run Away,0.3454
63795,5353,M.k. From The Trendsetters,I Can&#180;t Fly With Broken Wings,-0.9629
63798,5354,M.o.p.,Stick To Ya Gunz,-0.9604
63799,5355,M2m,Army Ants,0.2617
63836,5356,Maanam,Eksplozja,-0.6931
63842,5357,Maarja,Hold On To Love,0.5423
63847,5358,Mac And Katie Kisson,I've Found My Freedon,0.9423
63848,5359,Mac Band,Roses Are Red,0.9886
63849,5360,Mac Davis,It's Hard To Be Humble,0.991
63850,5361,Macabre,Albert Fish Was Worse Than Any Fish In The Sea,-0.8381
63869,5362,Macc Lads,All Day Drinkin',-0.6946
63879,5363,Maccoll Ewan,Abeggin I Will Go,-0.8583
63881,5364,Maccoll Kirsty,All I Ever Wanted,0.927
63899,5365,Maccrane Paul,Is It Ok If I Call You Mine?,0.9447
63900,5366,Macdonald Melissa,The X-files Story,0.9744
63901,5367,Macdonald Michael,East Of Eden,0.903
63903,5368,Macericks,I Don't Even Know Your Name,0.8173
63904,5369,Machine Head,2 Old,-0.9794
63930,5370,Machines Of Loving Grace,All I Really Need,0.9788
63938,5371,Macias Enrico,Le Mendiant De L'amour,-0.5423
63941,5372,Mack 10,Backyard Boogie,0.9785
63942,5373,Mack David,I Don't Care If The Sun Don't Shine,0.7746
63943,5374,Macy Gray,A Moment to Myself,0.2484
63964,5375,Mad Caddies,Day by Day,-0.296
63967,5376,Mad Dog Loose,Back Into History,0.5809
63980,5377,Mad Season,Artificial Red,-0.9388
63988,5379,Maddos,10 Kleine Lehrerlein,-0.9136
63989,5380,Madness,(waiting For) The Ghost Train,-0.7426
64052,5381,Madonna,"A Cinema in Buenos Aires, 26 July 1952",-0.7772
64249,5382,Madredeus,A Andorinha Da Primavera,0.6124
