title,followers_count,genres,popularity
Sound Adventures,7716,"['epicore', 'scorecore']",43
The Adverts,10979,"['post-punk', 'pub rock', 'punk', 'uk post-punk']",32
AENDIAENA,0,[],0
Sundial Aeon,3101,['psychill'],37
Aerosmith,3766661,"['album rock', 'classic rock', 'hard rock', 'rock']",78
Sopor Aeternus & The Ensemble Of Shadows,25384,"['dark wave', 'ethereal wave', 'gothic rock', 'medieval folk', 'neoclassical', 'steampunk']",42
Afflicted,535,['swedish metal'],8
José Afonso,7849,"['fado', 'portuguese rock']",29
Afrob,22605,"['german hip hop', 'indie deutschrap', 'reggae fusion']",47
Afroman,166549,"['gangster rap', 'hip hop', 'pop christmas', 'rap']",62
After 7,143750,"['funk', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",51
After Crying,790,['symphonic rock'],12
After The Fire,2634,['new romantic'],39
Afterhours,67659,"['italian alternative', 'italian arena pop', 'italian indie pop', 'italian pop']",50
Agathocles,3279,"['crust punk', 'deathgrind', 'goregrind', 'grindcore', 'power violence', 'thrash core']",18
Agathodaimon,7544,"['black metal', 'heavy christmas', 'melodic death metal', 'symphonic black metal', 'viking metal']",25
The Age Of Electric,2417,['canadian indie'],23
Agent Orange,46472,"['crossover thrash', 'hardcore punk', 'punk', 'ska punk', 'skate punk']",46
Agent Steel,4781,"['crossover thrash', 'metal', 'neo-trad metal', 'nwobhm', 'nwothm', 'speed metal', 'thrash metal']",24
Agents Of Chaos,31,['deep space rock'],0
Agents of Good Roots,379,['rva indie'],11
Susan Aglukark,631,['canadian country'],18
Agnetha Fältskog,26209,"['europop', 'swedish pop']",44
Agnostic Front,56873,"['crossover thrash', 'hardcore', 'hardcore punk', 'melodic hardcore', 'oi', 'punk', 'rap metal', 'rap rock', 'skate punk', 'straight edge']",45
Agora,5879,['latin metal'],27
Água na Boca,132,[],4
a-ha,457313,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",72
Ahmad Jamal,38708,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz fusion', 'jazz piano', 'latin jazz', 'soul jazz', 'stride', 'vocal jazz']",50
Ahmad Band,2976,[],26
Aikakone,3737,"['bubblegum dance', 'eurodance', 'finnish dance pop', 'finnish pop', 'suomi rock']",41
Aimee Mann,86238,"['alternative pop', 'anti-folk', 'folk', 'folk christmas', 'folk-pop', 'lilith', 'new wave pop', 'permanent wave', 'pop christmas', 'pop rock', 'singer-songwriter']",53
Aion,12,[],46
Air Supply,416944,"['mellow gold', 'soft rock']",68
Air Supply,416944,"['mellow gold', 'soft rock']",68
Airija,137,['lithumania'],8
Rhett Akins,62715,"['contemporary country', 'country', 'country christmas', 'country road', 'modern country rock', 'redneck']",51
Akinyele,4333,"['east coast hip hop', 'hardcore hip hop']",36
Ákos,6633,"['hungarian pop', 'hungarian rock']",39
Sezen Aksu,711941,"['turkish pop', 'turkish rock']",64
Al Bano,19974,['italian pop'],45
Al Green,787489,"['chicago soul', 'classic funk rock', 'funk', 'jazz blues', 'memphis soul', 'neo soul', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']",69
Al Jarreau,120913,"['adult standards', 'classic funk rock', 'disco', 'jazz christmas', 'jazz funk', 'quiet storm', 'smooth jazz', 'vocal jazz']",54
Al Martino,20085,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'vocal jazz']",45
Alabama,311381,"['contemporary country', 'country', 'country christmas', 'country road', 'country rock', 'outlaw country', 'southern rock', 'traditional country']",64
Aladin Fox,210,[],24
Alan & Denise,8,[],1
Alan Jackson,710432,"['contemporary country', 'country', 'country christmas', 'country road', 'traditional country']",73
The Alan Parson Project,537,[],8
The Alan Parsons Project,301988,"['album rock', 'art rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']",62
Alan Price,2173,['british blues'],30
Alan Sorrenti,3339,"['classic italian pop', 'italian pop']",39
